EventCode,LogName,EventCode_Description
512,"Security,"Windows NT is starting up"
513,"Security,"Windows is shutting down"
514,"Security,"An authentication package has been loaded by the Local Security Authority"
515,"Security,"A trusted logon process has registered with the Local Security Authority"
516,"Security,"Internal resources exhausted - loss of events"
517,"Security,"The audit log was cleared"
518,"Security,"A notification package has been loaded by the Security Account Manager"
519,"Security,"A process is using an invalid local procedure call (LPC) port"
520,"Security,"The system time was changed"
528,"Security,"Successful Logon"
529,"Security,"Logon Failure - Unknown user name or bad password"
530,"Security,"Logon Failure - Account logon time restriction violation"
531,"Security,"Logon Failure - Account currently disabled"
532,"Security,"Logon Failure - The specified user account has expired"
533,"Security,"Logon Failure - User not allowed to logon at this computer"
534,"Security,"Logon Failure - The user has not been granted the requested logon type at this machine"
535,"Security,"Logon Failure - The specified account's password has expired"
536,"Security,"Logon Failure - The NetLogon component is not active"
537,"Security,"Logon failure - The logon attempt failed for other reasons."
538,"Security,"User Logoff"
539,"Security,"Logon Failure - Account locked out"
540,"Security,"Successful Network Logon"
551,"Security,"User initiated logoff"
552,"Security,"Logon attempt using explicit credentials"
560,"Security,"Object Open"
561,"Security,"Handle Allocated"
562,"Security,"Handle Closed"
563,"Security,"Object Open for Delete"
564,"Security,"Object Deleted"
565,"Security,"Object Open (Active Directory)"
566,"Security,"Object Operation (W3 Active Directory)"
567,"Security,"Object Access Attempt"
576,"Security,"Special privileges assigned to new logon"
577,"Security,"Privileged Service Called"
578,"Security,"Privileged object operation"
592,"Security,"A new process has been created"
593,"Security,"A process has exited"
594,"Security,"A handle to an object has been duplicated"
595,"Security,"Indirect access to an object has been obtained"
600,"Security,"A process was assigned a primary token"
601,"Security,"Attempt to install service"
602,"Security,"Scheduled Task created"
608,"Security,"User Right Assigned"
609,"Security,"User Right Removed"
610,"Security,"New Trusted Domain"
611,"Security,"Removing Trusted Domain"
612,"Security,"Audit Policy Change"
613,"Security,"IPSec policy agent started"
614,"Security,"IPSec policy agent disabled"
614,"Directory Service,"A corrupt index has been detected"
615,"Security,"IPSEC PolicyAgent Service"
616,"Security,"IPSec policy agent encountered a potentially serious failure."
617,"Security,"Kerberos Policy Changed"
618,"Security,"Encrypted Data Recovery Policy Changed"
619,"Security,"Quality of Service Policy Changed"
620,"Security,"Trusted Domain Information Modified"
621,"Security,"System Security Access Granted"
622,"Security,"System Security Access Removed"
623,"Security,"Per User Audit Policy was refreshed"
624,"Security,"User Account Created"
625,"Security,"User Account Type Changed"
626,"Security,"User Account Enabled"
627,"Security,"Change Password Attempt"
628,"Security,"User Account password set"
629,"Security,"User Account Disabled"
630,"Security,"User Account Deleted"
631,"Security,"Security Enabled Global Group Created"
632,"Security,"Security Enabled Global Group Member Added"
633,"Security,"Security Enabled Global Group Member Removed"
634,"Security,"Security Enabled Global Group Deleted"
635,"Security,"Security Enabled Local Group Created"
636,"Security,"Security Enabled Local Group Member Added"
637,"Security,"Security Enabled Local Group Member Removed"
638,"Security,"Security Enabled Local Group Deleted"
639,"Security,"Security Enabled Local Group Changed"
640,"Security,"General Account Database Change"
641,"Security,"Security Enabled Global Group Changed"
642,"Security,"User Account Changed"
643,"Security,"Domain Policy Changed"
644,"Security,"User Account Locked Out"
645,"Security,"Computer Account Created"
646,"Security,"Computer Account Changed"
647,"Security,"Computer Account Deleted"
648,"Security,"Security Disabled Local Group Created"
649,"Security,"Security Disabled Local Group Changed"
650,"Security,"Security Disabled Local Group Member Added"
651,"Security,"Security Disabled Local Group Member Removed"
652,"Security,"Security Disabled Local Group Deleted"
653,"Security,"Security Disabled Global Group Created"
654,"Security,"Security Disabled Global Group Changed"
655,"Security,"Security Disabled Global Group Member Added"
656,"Security,"Security Disabled Global Group Member Removed"
657,"Security,"Security Disabled Global Group Deleted"
658,"Security,"Security Enabled Universal Group Created"
659,"Security,"Security Enabled Universal Group Changed"
660,"Security,"Security Enabled Universal Group Member Added"
661,"Security,"Security Enabled Universal Group Member Removed"
662,"Security,"Security Enabled Universal Group Deleted"
663,"Security,"Security Disabled Universal Group Created"
664,"Security,"Security Disabled Universal Group Changed"
665,"Security,"Security Disabled Universal Group Member Added"
666,"Security,"Security Disabled Universal Group Member Removed"
667,"Security,"Security Disabled Universal Group Deleted"
668,"Security,"Group Type Changed"
669,"Security,"Add SID History"
670,"Security,"Add SID History"
671,"Security,"User Account Unlocked"
672,"Security,"Authentication Ticket Granted"
673,"Security,"Service Ticket Granted"
674,"Security,"Ticket Granted Renewed"
675,"Security,"Pre-authentication failed"
676,"Security,"Authentication Ticket Request Failed"
677,"Security,"Service Ticket Request Failed"
678,"Security,"Account Mapped for Logon by"
679,"Security,"Account could not be mapped for logon"
680,"Security,"Account Used for Logon by"
681,"Security,"Logon to Account failed"
682,"Security,"Session reconnected to winstation"
683,"Security,"Session disconnected from winstation"
684,"Security,"Set ACLs of members in administrators groups"
685,"Security,"Account Name Changed"
686,"Security,"Password of the following user accessed"
687,"Security,"Basic Application Group Created"
688,"Security,"Basic Application Group Changed"
689,"Security,"Basic Application Group Member Added"
690,"Security,"Basic Application Group Member Removed"
691,"Security,"Basic Application Group Non-Member Added"
692,"Security,"Basic Application Group Non-Member Removed"
693,"Security,"Basic Application Group Deleted"
694,"Security,"LDAP Query Group Created"
695,"Security,"LDAP Query Group Changed"
696,"Security,"LDAP Query Group Deleted"
697,"Security,"Password Policy Checking API is called"
806,"Security,"Per User Audit Policy was refreshed"
807,"Security,"Per user auditing policy set for user"
808,"Security,"A security event source has attempted to register"
809,"Security,"A security event source has attempted to unregister"
848,"Security,"The following policy was active when the Windows Firewall started"
849,"Security,"An application was listed as an exception when the Windows Firewall started"
850,"Security,"A port was listed as an exception when the Windows Firewall started"
851,"Security,"A change has been made to Windows Firewall exception list"
852,"Security,"A change has been made to the Windows Firewall port exception list"
854,"Security,"A Windows Firewall setting has changed"
855,"Security,"ICMP settings changed"
856,"Security,"A rule has been partially ignored by Windows Firewall"
857,"Security,"A rule has been rejected by Windows Firewall"
858,"Security,"The Windows Firewall group policy settings have been removed"
859,"Security,"The Windows Firewall group policy settings have been removed"
860,"Security,"The Windows Firewall has switched the active policy profile"
861,"Security,"The Windows Firewall has detected an application listening for incoming traffic"
1014,"Directory Service,"The KCC failed to update the replication topology for the local DS"
1083,"Directory Service,"Directory is busy and cannot complete replication (KB296714)"
1084,"Directory Service,"Inbound Replication Failure"
1100,"Security,"The event logging service has shut down"
1101,"Security,"Audit events have been dropped by the transport."
1102,"Security,"The audit log was cleared"
1104,"Security,"The security Log is now full"
1105,"Security,"Event log automatic backup"
1108,"Security,"The event logging service encountered an error"
1115,"Directory Service,"Outbound replication has been disabled by the user"
1173,"Directory Service,"AD DS encountered an exception (see event details)"
1203,"Directory Service,"Replication failed because of a schema mismatch"
1232,"Directory Service,"An RPC Call initiated by AD DS timed out"
1311,"Directory Service,"Not enough information to generate a complete spanning tree topology (KB214745)"
1419,"Directory Service,"Local DC is both GC and Infrastructure Master.  These are incompatible roles"
1458,"Directory Service,"A FSMO Role has moved"
1463,"Directory Service,"Corrupt indices have been detected and will be rebuilt."
1481,"Directory Service,"Operation on an object failed (see event details)"
1659,"Directory Service,"Removal of a directory partition has resumed"
1699,"Directory Service,"Replication access was denied (KB953392)"
1800,"Directory Service,"Partial replica found but no writeable source found"
1801,"Directory Service,"Directory Partition has not been instantiated and no replication hosts found"
1844,"Directory Service,"Local DC cannot connect to a remote DC for name resolution"
1925,"Directory Service,"Attempt to establish a writable replication link failed"
1926,"Directory Service,"Attempt to establish a replication link failed"
1988,"Directory Service,"Attempt to replicate a non-existant object (KB870695)"
2002,"Directory Service,"The KCC did not run successfully (problem with object)"
2041,"Directory Service,"Duplicate Event Log Entries were suppressed"
2087,"Directory Service,"DNS Name Resolution of a DC Failed (KB824449)"
2088,"Directory Service,"Replication used NetBIOS because DNS Failed (KB824449)"
2089,"Directory Service,"A Directory Partition has not been backed up (KB914034)"
2108,"Directory Service,"Repair Procedures for a preceding Event ID 1084 (KB837932)"
2513,"Directory Service,"Failed to set the desired authentication protocol for a connection to a DSA"
2886,"Directory Service,"AD Server is accepting insecure SASL LDAP binds"
2887,"Directory Service,"Some clients performed insecure LDAP binds"
4500,"Security,"Metabase Add Key"
4501,"Security,"Metabase Delete Key"
4502,"Security,"Metabase Delete Chid Keys"
4503,"Security,"Metabase Copy Key"
4504,"Security,"Metabase Rename Key"
4505,"Security,"Metabase Set Data"
4506,"Security,"Metabase Delete Data"
4507,"Security,"Metabase Delete All Data"
4508,"Security,"Metabase Copy Data"
4509,"Security,"Metabase Set Last Change Time"
4510,"Security,"Metabase Restore"
4511,"Security,"Metabase Delete Backup"
4512,"Security,"Metabase Import"
4608,"Security,"Windows is starting up"
4609,"Security,"Windows is shutting down"
4610,"Security,"An authentication package has been loaded by the Local Security Authority"
4611,"Security,"A trusted logon process has been registered with the Local Security Authority"
4612,"Security,"Internal resources exhausted - loss of events"
4614,"Security,"A notification package has been loaded by the Security Account Manager."
4615,"Security,"Invalid use of LPC port"
4616,"Security,"The system time was changed."
4618,"Security,"A monitored security event pattern has occurred"
4621,"Security,"Administrator recovered system from CrashOnAuditFail"
4622,"Security,"A security package has been loaded by the Local Security Authority."
4624,"Security,"An account was successfully logged on"
4625,"Security,"An account failed to log on"
4634,"Security,"An account was logged off"
4646,"Security,"IKE DoS-prevention mode started."
4647,"Security,"User initiated logoff"
4648,"Security,"A logon was attempted using explicit credentials"
4649,"Security,"A replay attack was detected"
4650,"Security,"An IPsec Main Mode security association was established"
4651,"Security,"An IPsec Main Mode security association was established"
4652,"Security,"An IPsec Main Mode negotiation failed"
4653,"Security,"An IPsec Main Mode negotiation failed"
4654,"Security,"An IPsec Quick Mode negotiation failed"
4655,"Security,"An IPsec Main Mode security association ended"
4656,"Security,"A handle to an object was requested"
4657,"Security,"A registry value was modified"
4658,"Security,"The handle to an object was closed"
4659,"Security,"A handle to an object was requested with intent to delete"
4660,"Security,"An object was deleted"
4661,"Security,"A handle to an object was requested"
4662,"Security,"An operation was performed on an object"
4663,"Security,"An attempt was made to access an object"
