Logon_Type,"Logon_TypeName"
0,"Local-System"
0x0,"Local-System"
2,"Interactive"
0x2,"Interactive"
3,"Network"
0x3,"Network"
4,"Batch"
0x4,"Batch"
5,"Service"
0x5,"Service"
7,"Unlock"
0x7,"Unlock"
8,"Network Cleartext"
0x8,"Network Cleartext"
9,"New Credentials (RunAs)"
0x9,"New Credentials (RunAs)"
10,"Remote Interactive"
0xA,"Remote Interactive"
11,"Cached Interactive"
0xB,"Cached Interactive"
255,"Failed"
0xFF,"Failed"
4768,"Kerberos Pre-authentication"
4771,"Kerberos Pre-authentication"
